id,source,label,text
182,adjudicated,1,Biology: Digestive System Video
183,adjudicated,1,Eukaryopolis - The City of Animal Cells: Crash Course Biology #4
184,adjudicated,1,The Biology Behind Bonsai Trees
185,adjudicated,3,What If Physics IS NOT Describing Reality?
186,adjudicated,3,The physics anomaly no one talks about: What&#39;s up with those neutrinos?
187,adjudicated,1,Modern Physics || Modern Physics Full Lecture Course
188,adjudicated,2,Amazing Physics Toys/Gadgets 1
189,adjudicated,4,I Met RICH KID In Real Life...
190,adjudicated,1,Asking a Theoretical Physicist About the Physics of Consciousness | Roger Penrose &amp; Jordan Peterson
191,adjudicated,3,15 Craziest Things That Defy the Laws of Physics
192,adjudicated,1,Computer Scientist Explains One Concept in 5 Levels of Difficulty | WIRED
193,adjudicated,2,My Regrets as a Computer Science Student
194,adjudicated,1,The Math Needed for Computer Science
195,adjudicated,1,Computer Science Terminology
196,adjudicated,1,Data Structures - Computer Science Course for Beginners
197,adjudicated,1,Splatoon 3 Direct - Nintendo Switch
198,adjudicated,1,Nintendo Switch OLED Kirby Edition
199,adjudicated,1,Nintendo Switch: Unboxing &amp; Review
200,adjudicated,2,Splatoon 3: Early Switch Multiplayer Hands-on - How Is Nintendo&#39;s Shooter Shaping Up?
201,adjudicated,1,OLED Nintendo Switch Unboxing!
202,adjudicated,2,Xbox Says Console Exclusives are Fading Away
203,adjudicated,1,Xbox &amp; Bethesda Games Showcase 2022
204,adjudicated,2,PlayStation 5 vs Xbox Series X: Which is better?
205,adjudicated,1,The Evolution of XBOX Startup Screens (2001-2019)
206,adjudicated,1,"New Game Pass Additions, Updates, and Events | This Week on Xbox"
207,adjudicated,1,"All Xbox, Nintendo and PlayStation Startups (Unused Brand ID)"
208,adjudicated,1,Xbox Series X - Unbox &amp; Setup
209,adjudicated,2,Reloading a Controller: Xbox vs. Playstation
210,adjudicated,4,"Xbox Just Got BIG News - Massive Game Pass Change, NEW Partnership Announced, &amp; MORE!"
211,adjudicated,4,HUGE MARVEL STUDIOS D23 REVEALS! New Phase 6 Films and Casting Rumors D23 Preview
212,adjudicated,4,Why Marvel Phase Four Sucks!
213,adjudicated,1,Official Trailer | She-Hulk: Attorney at Law | Disney+
214,adjudicated,1,Marvel Studios&#39; Thor: Love and Thunder | Official Trailer
215,adjudicated,1,I&#39;m a Hulk | Marvel Studios&#39; She-Hulk: Attorney at Law | Disney+
216,adjudicated,1,SPIDER-MAN #1 Trailer | Marvel Comics
217,adjudicated,2,8 Actors Before And After They Got The Call From Marvel
218,adjudicated,2,Marvel&#39;s Spider-Man PC - AMAZING SPIDER-MAN 2 MOVIE SUIT FREE ROAM GAMEPLAY! [MOD]
219,adjudicated,3,Bionic Avengers Bad On Defense? - Masters Cosmic Crucible Round 1 - MARVEL Strike Force - MSF
220,adjudicated,4,MARVEL COMIC-CON 2022 FULL ANNOUNCEMENT! (AUDIENCE REACTION)
221,adjudicated,4,Marvel Bloopers You Have to See!
222,adjudicated,4,Please Leave Whatever You Are Doing And Watch This Amazing Movie- Nigerian Movies
223,adjudicated,1,Conspiracy Theory - Action Movie full movie english Action Movies
224,adjudicated,3,12 SURPRISINGLY Good Movies Included with Prime Video
225,adjudicated,2,Military Tank Expert Rates 8 Tank Battles In Movies And TV | How Real Is It? | Insider
226,adjudicated,1,Mistake: Forgive Only Once | Exclusive English Action Movies
227,adjudicated,3,Data Science Career: (Is Becoming A Data Scientist ACTUALLY Worth It?)
228,adjudicated,1,Data Scientist Overview
229,adjudicated,3,real talk about my Data Scientist jobs + salary for entry level data science
230,adjudicated,1,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford)
231,adjudicated,2,Skills Needed to Become a Data Scientist
232,adjudicated,2,Data Science Full Course | Learn Data Science in 3 Hours | Data Science for Beginners | Edureka
233,adjudicated,2,Data science roadmap: What skills you should learn first?
234,adjudicated,1,Python Machine Learning Tutorial (Data Science)
235,adjudicated,2,How I Would Learn to be a Data Analyst
236,adjudicated,2,Work Week In My Life | Data Scientist at Spotify
237,adjudicated,1,Learn Unity - Beginner&#39;s Game Development Tutorial
238,adjudicated,5,Best Game in 24 Hours Wins $0.01 - Game Development Challenge
239,adjudicated,3,The Dark Side Of Game Development
240,adjudicated,2,A Day in the Life of a Game Developer with a Full Time Job
241,adjudicated,2,"Solo Development: Myths, Reality and Survival Strategies"
242,adjudicated,2,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka
243,adjudicated,1,"But what is a neural network? | Chapter 1, Deep learning"
244,adjudicated,2,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics
245,adjudicated,1,The Mathematics of Machine Learning
246,adjudicated,1,MarI/O - Machine Learning for Video Games
247,adjudicated,1,Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial
248,adjudicated,2,Complete Machine Learning In 6 Hours| Krish Naik
249,adjudicated,2,How I Learnt Machine Learning In 6 Steps (3 months)
250,adjudicated,1,Machine Learning Interview Questions and Answers | Machine Learning Interview Preparation | Edureka
251,adjudicated,2,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ
252,adjudicated,3,LEGO Star Wars: The Skywalker Saga Nintendo Switch NEW PATCH Review!
253,adjudicated,4,My New House Gaming Setup is SICK!
254,adjudicated,3,Best Back to School Tech 2022!
255,adjudicated,2,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED
256,adjudicated,1,Tech Monopolies: Last Week Tonight with John Oliver (HBO)
257,adjudicated,3,I bought the STRANGEST TECH on the Internet.
258,adjudicated,3,15 Emerging Technologies that Will Change the World
259,adjudicated,2,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED
260,adjudicated,4,Almost EVERYONE is Wasting Money on Dash Cams.
261,adjudicated,2,Taste Expert Answers Questions From Twitter | Tech Support | WIRED
262,adjudicated,2,Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED
263,adjudicated,3,"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ"
264,adjudicated,1,Futurum Research&#39;s Daniel Newman breaks down tech stocks to watch
265,adjudicated,1,How Biden&#39;s student loan forgiveness program will work
266,adjudicated,3,Potential mass shooting foiled in Washington state
267,adjudicated,4,What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING
268,adjudicated,4,10 Infuriating Ways Video Games Stopped You From Getting 100%
269,adjudicated,2,Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050
270,adjudicated,1,Mylta Power Station Long drive &amp; Night Food Party Vlog | RON GAMING VLOGS
271,adjudicated,3,15 Graphically MIND-BLOWING Games of 2022
272,adjudicated,5,"TOP 5 BEST GAMING PHONE UNDER 15,000/- RS FOR PUBG &amp; BGMI | GAMING PHONE UNDER 15k FOR PUBG &amp; BGMI"
273,adjudicated,3,Rich Gamer Vs Broke Gamer
274,adjudicated,1,Manchester United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 8/22/2022 | NBC Sports
275,adjudicated,4,Craziest &quot;Karma/Revenge&quot; Moments in Sports History
276,adjudicated,4,Craziest &quot;1 in a Trillion&quot; Moments in Sports History
277,adjudicated,1,Leeds United v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports
278,adjudicated,3,The Most Controversial Player in Sports
279,adjudicated,5,1 IN A TRILLION MOMENTS IN SPORTS
280,adjudicated,1,Reactions after Arsenal cruise past Bournemouth | Premier League | NBC Sports
281,adjudicated,1,Fulham v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports
282,adjudicated,1,How To Fix a Water Damaged Laptop
283,adjudicated,3,HOW2: How To Do 100 Things! [Saturday Supercut]
284,adjudicated,1,How to Start a Blog in 2022 | By Sophia Lee
285,adjudicated,2,How to Make Perfect Stir Fry Every Time | 4 Components of Stir Fry | You Can Cook That
286,adjudicated,1,Tiesto - The Business (Official Lyric Video)
287,adjudicated,3,Businesses that Never Fail? 7 Businesses with Amazingly Low Failure Rates [Backed by Data]
288,adjudicated,2,7 Profitable Business Ideas for 2022
289,adjudicated,2,How To Run A Profitable Business &amp; Make Money
290,adjudicated,3,"helping a homeless woman, starting an online business as a 17 year old (coaching livestream)"
291,adjudicated,1,Lakeyah Ft. Latto - Mind Yo Business (Official Video)
292,adjudicated,1,Tshepiso Ramotsehoa | Life Story | Business Coaching | Government |  Education | Youth | Women
293,adjudicated,1,Small Business | TikTok Compilation
294,adjudicated,4,"HOW TO: EASY EVERYDAY FALL MAKEUP TUTORIAL! - Tips, Tricks &amp; Techniques for Beginners!"
295,adjudicated,2,Worlds Cleanest Fade - Haircut Tutorial
296,adjudicated,1,Java Tutorial for Beginners
297,adjudicated,1,Python Tutorial - Python Full Course for Beginners
298,adjudicated,1,Drawing faces tutorial
299,adjudicated,2,How to Get Waves (5 Step Tutorial) | GQ
300,adjudicated,3,25 Features Mojang Keeps a Secret
301,adjudicated,1,"Mohamed El-Erian predicts Fed moves and the housing market: August 21, 2013"
302,adjudicated,1,No Consideration of Charges for UPI Services | Cleared Finance Ministrer Nirmala |
303,adjudicated,2,"Personal finance: How to save, spend, and think rationally about money | Big Think"
304,adjudicated,4,One Asset Is About To Smash Bitcoin | Can You Still Invest?
305,adjudicated,5,CRYPTO ABOUT TO REACT TO ECONOMIC COLLAPSE
306,adjudicated,4,this is not good...but will it effect bitcoin?
307,adjudicated,5,Jerome Powell About To CRASH The Market?! This Can Move Crypto! (New Home Buyers Should Get Ready)
308,adjudicated,5,Urgent! If You Hold ANY Crypto WATCH NOW! Terra Luna Classic Recovery!
309,adjudicated,2,My Rubik&#39;s Cube Collection! [200+ Cubes]
310,adjudicated,3,[2022] My Rubik&#39;s Cube Collection - Fun Fact Edition!
311,adjudicated,5,HUGE $500 CUBE UNBOXING | What Cubes Did I Get?
312,adjudicated,1,Stickers VS Stickerless Rubik&#39;s Cubes
313,adjudicated,1,"Champions Chess Tour: FTX Crypto Cup | Day 6 | Commentary by David, Jovanka, Kaja &amp; Simon"
314,adjudicated,1,Endgame closure | CM Crevatin Leo - IM Yuri Lapshun | Blitz chess
315,adjudicated,1,The Master Alekhine
316,adjudicated,3,Apple&#39;s  September 7th iPhone 14 Event Everything Leaked!
317,adjudicated,5,"iPhone 14 Event = RUINED! FIRST LOOK at EVERYTHING! iPhone 14 Pro, Apple Watch S8 + ONE MORE THING!"
318,adjudicated,1,PIKOTARO - PPAP (Pen Pineapple Apple Pen) (Long Version) [Official Video]
319,adjudicated,3,Apple iPhone 14 EVENT - Apple are Changing a Product...
320,adjudicated,3,Apple&#39;s iPad Revolution is COMING..
321,adjudicated,3,iPhone 14 Last Minute Changes and Leaks!
322,adjudicated,3,Android vs iPhone - Which is ACTUALLY Better? (ft MKBHD)
323,adjudicated,2,iPhone Features Apple Killed With iOS 16
324,adjudicated,1,www.google.com search
325,adjudicated,5,SCARY THINGS FOUND ON GOOGLE EARTH
326,adjudicated,1,www.google.com
327,adjudicated,2,Cala Maria&#39;s Song but Every Word is a Google Image
328,adjudicated,1,Google Pixel 7 + Pixel 7 Pro Early Hands On
329,adjudicated,4,TOP 7 Interview Questions and Answers (PASS GUARANTEED!)
330,adjudicated,1,English Job Interview Dos &amp; Dont&#39;s! | English Conversation Practice
331,adjudicated,1,Saweetie Full Interview with Kevin Hart | Full Episode Hart to Heart
332,adjudicated,1,How to Answer Behavioral Interview Questions Sample Answers
333,adjudicated,1,Lil Durk Speaks Out About YoungBoy Dissing King Von (Interview)
334,adjudicated,2,New interview of Emma Watson with People/EW Network!
335,adjudicated,3,Why Casemiro Is The PERFECT Transfer! | Interview With Semra Hunter
336,adjudicated,4,"Elon Musk Reveals His Knowledge on Aliens, Challenges Putin to UFC, and Predicts WW3"
337,adjudicated,1,"Ray J Talks Justin Bieber Beef,  Raycon Earbuds, B2K, RSVP Group, Shaves Chest Hair"
338,adjudicated,1,"50 Cent Talks &quot;Tycoon Houston Comedy Fest, YK Osiris, Love For Houston, Mending Relationships &amp; More"
339,adjudicated,5,ALIENS THREATEN GLOBAL INVASION | Countdown to Armageddon
340,adjudicated,1,One Direction - History (Official Video)
341,adjudicated,1,Rich Brian - History (Official Video)
342,adjudicated,2,"history of the entire world, i guess"
343,adjudicated,2,The History Of Earth&#39;s Five Mass Extinction Events [4K] | The Next Great Extinction Event | Spark
344,adjudicated,1,Why did Britain Attack the Greeks in 1944? | Animated History
345,adjudicated,1,The Entire History of Viking Britain // Medieval England Documentary
346,adjudicated,2,The Real History of Slavery - Southern Negro
347,adjudicated,2,How Did Ancient People Learn To Cook? | Footprints Of Civilisation | Absolute History
348,adjudicated,1,What It Was Like to Be a Mental Patient In the 1900s
349,adjudicated,2,Why Did Prehistoric People Make Cave Paintings? | Footprints of Civilisation | Absolute History
350,adjudicated,5,TOP 4 INSANE ALIEN ENCOUNTERS | The Proof Is Out There
351,adjudicated,1,Ola Runt - Literature (Official Music Video)
352,adjudicated,1,LITERATURE - James Joyce
353,adjudicated,1,Philosophy and Literature with Iris Murdoch and Bryan Magee (1977)
354,adjudicated,1,LITERATURE: Leo Tolstoy
355,adjudicated,2,The Mistake People Make When Reading Literature
356,adjudicated,1,Shakespeare vs Milton: The Kings of English Literature Debate
357,adjudicated,1,"A Long and Difficult Journey, or  The Odyssey: Crash Course Literature 201"
358,adjudicated,1,An adjunct explains why literature matters | Danielle Carlotti-Smith | TEDxUniversityofTulsa
359,adjudicated,1,Rotimi - In My Bed (Official Video) (feat. Wale)
360,adjudicated,1,Chris Brown - Wet the Bed (Audio) ft. Ludacris
